,gene_symbol,pmid,type_of_biomarker,type_of_rna_biomarker
28,CASP8,28204824,Epigenic Biomarker,
29,FRAT1,20041315,Protein Biomarker,
30,MIR21,20219352,RNA Biomarker,miRNA
30,MIR181B1,20219352,RNA Biomarker,miRNA
30,MIR181B2,20219352,RNA Biomarker,miRNA
30,MIR106A,20219352,RNA Biomarker,miRNA
31,MIR214,30794970,RNA Biomarker,miRNA
32,MIR21,29076001,RNA Biomarker,miRNA
32,MIR222,29076001,RNA Biomarker,miRNA
32,MIR124-1,29076001,RNA Biomarker,miRNA
32,MIR124-2,29076001,RNA Biomarker,miRNA
32,MIR124-3,29076001,RNA Biomarker,miRNA
33,MIR338,28780604,RNA Biomarker,miRNA
34,MIR500A,30015879,RNA Biomarker,miRNA
35,FRT1,25922553,Protein Biomarker,
36,NDRG2,24847385,Epigenic Biomarker,
37,MIR141,29050344,RNA Biomarker,miRNA
38,MIR199A1,27981547,RNA Biomarker,miRNA
38,MIR199A2,27981547,RNA Biomarker,miRNA
39,MIR210HG,27673330,RNA Biomarker,lncRNA
40,RTN4,21835431,Protein Biomarker,
40,OLIG2,21835431,Protein Biomarker,
41,MIR155,32220051,RNA Biomarker,miRNA
42,MIR126,31081101,RNA Biomarker,miRNA
43,HSPA5,26207187,Protein Biomarker,
44,IL4R,22369735,DNA Biomarker,
44,TREH,22369735,DNA Biomarker,
44,CCDC26,22369735,DNA Biomarker,
45,MIR15B,25140035,RNA Biomarker,miRNA
45,MIR16,25140035,RNA Biomarker,miRNA
45,MIR19A,25140035,RNA Biomarker,miRNA
45,MIR19B1,25140035,RNA Biomarker,miRNA
45,MIR20A,25140035,RNA Biomarker,miRNA
45,MIR106A,25140035,RNA Biomarker,miRNA
45,MIR130A,25140035,RNA Biomarker,miRNA
45,MIR181B1,25140035,RNA Biomarker,miRNA
45,MIR208A,25140035,RNA Biomarker,miRNA
46,IDH1,23494632,DNA Biomarker,
46,IDH2,23494632,DNA Biomarker,
47,PROM1,18096722,Protein Biomarker,
48,nan,10533725,Protein Biomarker,
49,HMBOX1,28731165,Protein Biomarker,
50,MIR221,31422498,RNA Biomarker,miRNA
50,MIR222,31422498,RNA Biomarker,miRNA
51,BRAF,21696415,DNA Biomarker,
52,ATP6V1E1,23041135,Protein Biomarker,
52,UBA1,23041135,Protein Biomarker,
52,HMGB1,23041135,Protein Biomarker,
52,MAP2,23041135,Protein Biomarker,
53,TMEM39A,28133515,Protein Biomarker,
54,MAGED4,24966945,Protein Biomarker,
55,NA,22855780,Immunological Biomarker,
56,PIK3CA,15289301,DNA Biomarker,
57,H19,31468534,RNA Biomarker,lncRNA
58,LBP,31628293,Protein Biomarker,
59,nan,27154922,Metabolic Biomarker,
60,MIR182,20472885,RNA Biomarker,miRNA
61,IDH1,23035067,DNA Biomarker,
62,nan,12577293,Metabolic Biomarker,
63,NTN1,21303223,Protein Biomarker,
64,MT1JP,31890049,RNA Biomarker,lncRNA
65,BCL6,25038272,DNA Biomarker,
66,IDH1,23486687,DNA Biomarker,
66,IDH2,23486687,DNA Biomarker,
67,MIR221,26191177,RNA Biomarker,miRNA
68,MIR30A,23606081,RNA Biomarker,miRNA
69,SHMT2,28107674,Protein Biomarker,
70,MIR4697HG,31884342,RNA Biomarker,lncRNA
71,FTX,28112756,RNA Biomarker,lncRNA
72,FGF1,9002714,Protein Biomarker,
72,FGF2,9002714,Protein Biomarker,
72,FGF3,9002714,Protein Biomarker,
72,FGF4,9002714,Protein Biomarker,
72,FGF5,9002714,Protein Biomarker,
72,FGF6,9002714,Protein Biomarker,
72,FGF7,9002714,Protein Biomarker,
72,FGF8,9002714,Protein Biomarker,
72,FGF9,9002714,Protein Biomarker,
72,FGF10,9002714,Protein Biomarker,
72,FGF11,9002714,Protein Biomarker,
72,FGF12,9002714,Protein Biomarker,
72,FGF13,9002714,Protein Biomarker,
72,FGF14,9002714,Protein Biomarker,
72,FGF15,9002714,Protein Biomarker,
72,FGF16:FGF17,9002714,Protein Biomarker,
72,FGF18,9002714,Protein Biomarker,
72,FGF19,9002714,Protein Biomarker,
72,FGF20,9002714,Protein Biomarker,
72,FGF21,9002714,Protein Biomarker,
72,FGF22,9002714,Protein Biomarker,
72,FGF23,9002714,Protein Biomarker,
73,NGF,21933631,Protein Biomarker,
74,TIMP1,24238516,Protein Biomarker,
75,MIR210,32194691,RNA Biomarker,miRNA
76,MIR128-1,25785017,RNA Biomarker,miRNA
76,MIR128-2,25785017,RNA Biomarker,miRNA
77,MROCKI,28959170,RNA Biomarker,lncRNA
78,MIR7-1,24412320,RNA Biomarker,miRNA
78,MIR21,24412320,RNA Biomarker,miRNA
78,MIR23A,24412320,RNA Biomarker,miRNA
78,MIR137,24412320,RNA Biomarker,miRNA
79,nan,21438658,Imageological Biomarker,
80,EGFR,29166921,Protein Biomarker,
81,MIR100,30530966,RNA Biomarker,miRNA
82,ROCK1,31083169,RNA Biomarker,mRNA
83,GFAP,32147765,Protein Biomarker,
84,SELL,26232108,Protein Biomarker,
84,CRP,26232108,Protein Biomarker,
85,nan,31607471,Imageological Biomarker,
86,nan,30932289,Imageological Biomarker,
87,MGMT,26884942,Protein Biomarker,
88,MIR769,31897212,RNA Biomarker,miRNA
89,MIR381,21435336,RNA Biomarker,miRNA
90,MIR129-1,32111444,RNA Biomarker,miRNA
90,MIR129-2,32111444,RNA Biomarker,miRNA
91,CHI3L1,15788675,Protein Biomarker,
92,NA,17934521,DNA Biomarker,
93,MDK,25001988,Protein Biomarker,
93,PTN,25001988,Protein Biomarker,
94,MYC,2545843,Protein Biomarker,
95,GFAP,22763625,Protein Biomarker,
96,MTDH,20236756,Protein Biomarker,
97,NOTCH1,26662803,RNA Biomarker,mRNA
97,HES1,26662803,RNA Biomarker,mRNA
97,DTX1,26662803,RNA Biomarker,mRNA
98,PARD6A,31914615,Protein Biomarker,
99,BCAN,16061654,Protein Biomarker,
100,MIR615,29605294,RNA Biomarker,miRNA
101,WEE1,29502292,Protein Biomarker,
102,PTX3,23664694,Immunological Biomarker,
103,CDKN2A,19240607,Epigenic Biomarker,
104,GDF15,19521960,Protein Biomarker,
105,MIR210,24729345,RNA Biomarker,miRNA
106,DIRAS3,30266404,Protein Biomarker,
107,NES,23524267,Protein Biomarker,
108,NA,31603255,RNA Biomarker,lncRNA
109,CD163,31690954,Protein Biomarker,
109,CCL3,31690954,Protein Biomarker,
110,GFAP,26518540,Protein Biomarker,
111,IDH1,19755387,DNA Biomarker,
112,SOX6,15696967,Protein Biomarker,
113,IL13RA2,28881623,Protein Biomarker,
114,RBFOX3,16487366,Protein Biomarker,
115,NA,24386117,Imageological Biomarker,
116,MIR15B,27047250,RNA Biomarker,miRNA
116,MIR21,27047250,RNA Biomarker,miRNA
117,nan,21881830,DNA Biomarker,
118,HDGF,22037800,Protein Biomarker,
119,CAV1,17460461,Protein Biomarker,
120,LOC441204,28717243,RNA Biomarker,lncRNA
121,INA,22002423,Protein Biomarker,
122,nan,30726924,Metabolic Biomarker,
123,KLF4,27600094,Protein Biomarker,
123,POU5F1,27600094,Protein Biomarker,
123,SOX2,27600094,Protein Biomarker,
123,MYC,27600094,Protein Biomarker,
123,NANOG,27600094,Protein Biomarker,
124,SPRY4-IT1,26464658,RNA Biomarker,lncRNA
125,HOXB9,24582746,Protein Biomarker,
126,nan,29590424,Imageological Biomarker,
127,NA,30072578,Immunological Biomarker,
128,TLR9,27538656,Protein Biomarker,
128,NFKBIA,27538656,Protein Biomarker,
129,nan,30154718,Immunological Biomarker,
130,SBF2-AS1,30992025,RNA Biomarker,lncRNA
131,nan,20187195,Imageological Biomarker,
132,nan,28362236,Imageological Biomarker,
133,nan,27028997,Epigenic Biomarker,
134,MMP26,30008924,Protein Biomarker,
135,LNX1,16002321,RNA Biomarker,mRNA
135,LNX2,16002321,RNA Biomarker,mRNA
136,MIR9-1HG；FAM50B,31395792,Epigenic Biomarker,
137,SLC44A1,26671581,DNA Biomarker,
137,PRKCA,26671581,DNA Biomarker,
138,PROX1,20084020,Protein Biomarker,
139,VTN,27871448,Protein Biomarker,
140,TERT,30655743,DNA Biomarker,
140,ATRX,30655743,DNA Biomarker,
141,MIR142,29695934,RNA Biomarker,miRNA
142,MIR205,26230475,RNA Biomarker,miRNA
143,MIR145,31934080,RNA Biomarker,miRNA
144,MIR210,25756397,RNA Biomarker,miRNA
145,SPAG4,30817682,Protein Biomarker,
146,nan,28978155,RNA Biomarker,miRNA
147,MIR376A1,28211798,RNA Biomarker,miRNA
147,MIR376A2,28211798,RNA Biomarker,miRNA
147,MIR376B,28211798,RNA Biomarker,miRNA
147,MIR376C,28211798,RNA Biomarker,miRNA
148,CASC2,28744130,RNA Biomarker,lncRNA
149,TRIOBP,29363730,Protein Biomarker,
150,JUN,20448330,Protein Biomarker,
150,FOS,20448330,Protein Biomarker,
151,OLIG2,17431671,Protein Biomarker,
152,MSI1,11284014,Protein Biomarker,
153,PVT1,29108264,RNA Biomarker,lncRNA
153,HAR1A,29108264,RNA Biomarker,lncRNA
154,S100A8,30808902,Protein Biomarker,
154,S100A9,30808902,Protein Biomarker,
155,nan,21950922,Imageological Biomarker,
156,nan,24652828,Imageological Biomarker,
157,nan,30985412,Imageological Biomarker,
158,CPS1,31492588,Protein Biomarker,
159,STAT1,29620180,Protein Biomarker,
159,TP53,29620180,Protein Biomarker,
160,MCM7,16619508,Protein Biomarker,
161,PATZ1,28938636,Protein Biomarker,
162,MIR346,31807116,RNA Biomarker,miRNA
163,nan,25311315,Imageological Biomarker,
164,EMP2,28887715,Protein Biomarker,
165,NA,30277536,Imageological Biomarker,
166,MIR198,28425046,RNA Biomarker,miRNA
167,DANCR,29476310,RNA Biomarker,lncRNA
168,IL33,27050560,Protein Biomarker,
169,nan,29333924,Imageological Biomarker,
170,MIR504,28534372,RNA Biomarker,miRNA
171,SOCS3,27441955,Epigenic Biomarker,
172,MMP14,22855183,Protein Biomarker,
172,MMP19,22855183,Protein Biomarker,
173,MIR29B1,28423357,RNA Biomarker,miRNA
173,MIR29B2,28423357,RNA Biomarker,miRNA
174,NAMPT,31710121,Protein Biomarker,
174,GRN,31710121,Protein Biomarker,
174,SERPINE1,31710121,Protein Biomarker,
175,FGF2,27314542,Protein Biomarker,
175,TIMP3,27314542,Protein Biomarker,
176,SERPINE1,18383878,Protein Biomarker,
177,HHIP,25416442,Epigenic Biomarker,
178,nan,27175595,Metabolic Biomarker,
179,PIWIL2,28534979,Protein Biomarker,
180,TNFRSF21,31092421,Protein Biomarker,
181,nan,11703362,Immunological Biomarker,
182,GFAP,17998256,Protein Biomarker,
183,MGMT,25028501,Epigenic Biomarker,
184,TDGF1,30426531,Protein Biomarker,
185,nan,24946857,Protein Biomarker,
186,MIR433,27926502,RNA Biomarker,miRNA
187,nan,27753657,Protein Biomarker,
188,nan,26381556,Imageological Biomarker,
189,MST1,31321952,Protein Biomarker,
190,nan,25862748,Metabolic Biomarker,
191,SLC39A4,23595627,Protein Biomarker,
192,NTRK2,27385098,Protein Biomarker,
193,NKX2-1,25786084,Protein Biomarker,
194,CD276,26622819,Protein Biomarker,
195,CDKN2A,20714943,Epigenic Biomarker,
196,FRT1,20096670,Protein Biomarker,
197,MAP2,15146346,Protein Biomarker,
198,GLS2,15663956,RNA Biomarker,mRNA
199,MYO1C,32081419,Protein Biomarker,
200,IGFBP,20501753,Protein Biomarker,
201,URGCP,24308561,Protein Biomarker,
202,AJAP1,24483339,Protein Biomarker,
203,FLNA,19594548,Immunological Biomarker,
204,TP53,18821037,Protein Biomarker,
204,PECAM1,18821037,Protein Biomarker,
205,RNU6-1,24435880,RNA Biomarker,miRNA
205,MIR320A,24435880,RNA Biomarker,miRNA
205,MIR574,24435880,RNA Biomarker,miRNA
206,POMGNT1,23851827,Protein Biomarker,
207,nan,26317248,Metabolic Biomarker,
208,MIR182,26978735,RNA Biomarker,miRNA
209,LGALS1,23824536,Protein Biomarker,
210,NKX2-1,27910945,Protein Biomarker,
211,MIR130B,28534976,RNA Biomarker,miRNA
212,LINC01139,31410112,RNA Biomarker,lncRNA
213,APOD,11895042,Protein Biomarker,
214,MIR124-1,24497408,RNA Biomarker,miRNA
214,MIR124-2,24497408,RNA Biomarker,miRNA
214,MIR124-3,24497408,RNA Biomarker,miRNA
215,FABP7,24274717,Protein Biomarker,
216,SPDL1,32038986,Protein Biomarker,
217,UBE2C,18666437,Protein Biomarker,
218,NA,19737649,DNA Biomarker,
219,nan,29679199,Imageological Biomarker,
220,nan,10653879,DNA Biomarker,
221,KPNA2,22772608,Protein Biomarker,
222,nan,12482624,Metabolic Biomarker,
223,TNFRSF1A,32257943,Protein Biomarker,
224,MIR383,23564324,RNA Biomarker,miRNA
225,CDC25B,24344030,Protein Biomarker,
226,nan,26451167,Epigenic Biomarker,
227,BRAF,25346165,DNA Biomarker,
228,GGCT,26828272,Protein Biomarker,
229,MIR181A1,29115595,RNA Biomarker,miRNA
229,MIR181A2,29115595,RNA Biomarker,miRNA
229,MIR181B1,29115595,RNA Biomarker,miRNA
229,MIR181B2,29115595,RNA Biomarker,miRNA
229,MIR181C,29115595,RNA Biomarker,miRNA
229,MIR181D,29115595,RNA Biomarker,miRNA
230,PLA2G4,11958371,DNA Biomarker,
231,POSTN,31785437,Protein Biomarker,
232,MIR625,28979807,RNA Biomarker,miRNA
233,nan,26834160,Metabolic Biomarker,
234,PIWIL1,21138738,Protein Biomarker,
235,EGFR,28453784,DNA Biomarker,
236,TFAM,28440425,Protein Biomarker,
237,PHF20,29033691,Protein Biomarker,
238,WT1,24607494,Protein Biomarker,
239,VEGFA,15153841,Protein Biomarker,
239,VEFGB,15153841,Protein Biomarker,
239,VEFGC,15153841,Protein Biomarker,
239,VEFGD,15153841,Protein Biomarker,
239,RCVRN,15153841,Protein Biomarker,
240,MIR576,24858071,RNA Biomarker,miRNA
240,MIR340,24858071,RNA Biomarker,miRNA
240,MIR626,24858071,RNA Biomarker,miRNA
240,MIR320A,24858071,RNA Biomarker,miRNA
240,MIRLET7G,24858071,RNA Biomarker,miRNA
240,MIR7-1,24858071,RNA Biomarker,miRNA
241,USP7,23483195,Protein Biomarker,
242,MACC1,23982875,Protein Biomarker,
243,SOX5,17230535,Protein Biomarker,
244,SMAD1,19513897,Protein Biomarker,
244,BMPR1B,19513897,Protein Biomarker,
245,CHI3L1,17020973,Protein Biomarker,
245,MMP9,17020973,Protein Biomarker,
246,HOXA13,26356815,Protein Biomarker,
247,NLRC4,31133717,Protein Biomarker,
248,GATAD1,31286678,DNA Biomarker,
249,nan,16211217,Protein Biomarker,
250,ALDH1A1,26101711,Protein Biomarker,
251,S100A8,25298751,Protein Biomarker,
251,S100A9,25298751,Protein Biomarker,
251,PF4,25298751,Protein Biomarker,
252,MIR210,31896490,RNA Biomarker,miRNA
252,MIR5194,31896490,RNA Biomarker,miRNA
252,MIR449A,31896490,RNA Biomarker,miRNA
252,MIR449B,31896490,RNA Biomarker,miRNA
252,MIR449C,31896490,RNA Biomarker,miRNA
253,SLAMF1,25710480,Protein Biomarker,
254,MIR21,26284486,RNA Biomarker,miRNA
255,EPS8L1,24913449,DNA Biomarker,
256,PTBP1,28282372,Protein Biomarker,
257,PLXNB1,22939532,Protein Biomarker,
258,MIR93,27185265,RNA Biomarker,miRNA
259,MGMT,26171163,Epigenic Biomarker,
260,nan,31930024,Immunological Biomarker,
261,MME,2531122,Immunological Biomarker,
262,MCM7,17094475,Protein Biomarker,
263,nan,15115103,DNA Biomarker,
264,GFAP,31311947,Protein Biomarker,
265,nan,31865249,RNA Biomarker,miRNA
266,MIR592,25950799,RNA Biomarker,miRNA
267,GFAP,22318658,Protein Biomarker,
268,MIR15B,21937590,RNA Biomarker,miRNA
268,MIR21,21937590,RNA Biomarker,miRNA
269,MCM2,16150117,Protein Biomarker,
269,MKI67,16150117,Protein Biomarker,
269,CCNA1,16150117,Protein Biomarker,
269,CCNA2,16150117,Protein Biomarker,
270,TPM3,24913705,Protein Biomarker,
271,KIT,16132504,Protein Biomarker,
272,FBLIM1,22843679,Protein Biomarker,
273,nan,16444993,Imageological Biomarker,
274,nan,2754455,Metabolic Biomarker,
275,CCL3,22307528,Protein Biomarker,
276,MIR141,29901110,RNA Biomarker,miRNA
277,IDH1,21075857,DNA Biomarker,
277,IDH2,21075857,DNA Biomarker,
277,TP53,21075857,DNA Biomarker,
278,ADGRL4,23096411,Protein Biomarker,
279,TFPI2,21530612,Protein Biomarker,
280,LRRC4,18976507,Epigenic Biomarker,
281,MSH6,29366782,DNA Biomarker,
282,ACTN4,23504125,Protein Biomarker,
283,nan,29574566,Imageological Biomarker,
284,ALOX5,32484805,RNA Biomarker,mRNA
284,CISD1,32484805,RNA Biomarker,mRNA
284,FTL,32484805,RNA Biomarker,mRNA
284,CD44,32484805,RNA Biomarker,mRNA
284,FANCD2,32484805,RNA Biomarker,mRNA
284,NFE2L2,32484805,RNA Biomarker,mRNA
284,SLC1A5,32484805,RNA Biomarker,mRNA
284,GOT1,32484805,RNA Biomarker,mRNA
285,MIR720,32639004,RNA Biomarker,miRNA
286,PRKCG,32539851,DNA Biomarker,
287,MYB,32589128,DNA Biomarker,
288,MIR9-1,32658431,RNA Biomarker,miRNA
288,MIR9-2,32658431,RNA Biomarker,miRNA
288,MIR9-3,32658431,RNA Biomarker,miRNA
289,ATRX,33287933,Protein Biomarker,
290,TPTEP1,33173989,RNA Biomarker,lncRNA
291,ELF3-AS1,33014189,RNA Biomarker,lncRNA
292,ISL2,32894165,Protein Biomarker,
293,MIR9-3,32724447,RNA Biomarker,miRNA
294,nan,33341429,Imageological Biomarker,
295,LRG1,32647893,Protein Biomarker,
296,AMACR,33154941,Protein Biomarker,
297,MIR186,32744694,RNA Biomarker,miRNA
298,PARP9,32678519,RNA Biomarker,mRNA
299,nan,32425605,RNA Biomarker,circRNA
300,PTTG1,32725378,Protein Biomarker,
301,MIR351,32506303,RNA Biomarker,miRNA
302,FLVCR1,32626942,RNA Biomarker,lncRNA
303,RAB5A,32724343,Protein Biomarker,
303,RAB5B,32724343,Protein Biomarker,
303,RAB5C,32724343,Protein Biomarker,
304,MIR766,33083454,RNA Biomarker,miRNA
304,MIR376,33083454,RNA Biomarker,miRNA
305,nan,32918539,RNA Biomarker,circRNA
306,ZNF667-AS1,33282010,RNA Biomarker,lncRNA
307,nan,32434559,Imageological Biomarker,
308,DNAJC10,32301283,Protein Biomarker,
308,TMX1,32301283,Protein Biomarker,
308,PDIA4,32301283,Protein Biomarker,
308,PDIA5,32301283,Protein Biomarker,
308,PDIA6,32301283,Protein Biomarker,
308,P4HB,32301283,Protein Biomarker,
308,TXNDC5,32301283,Protein Biomarker,
309,RHOJ,32822001,Protein Biomarker,
310,MIR4731,33369441,RNA Biomarker,miRNA
311,MIR33B,32462908,RNA Biomarker,miRNA
312,EGFL7,32888253,Protein Biomarker,
313,nan,33235502,Immunological Biomarker,
314,PTPRZ1,32642707,Protein Biomarker,
314,PTPRZ2,32642707,Protein Biomarker,
315,LAMA4,32628487,Protein Biomarker,
315,OPN3,32628487,Protein Biomarker,
315,OPN4,32628487,Protein Biomarker,
315,OPN5,32628487,Protein Biomarker,
316,nan,33397920,Metabolic Biomarker,
317,SFRP1,32783304,Epigenic Biomarker,
317,SFRP2,32783304,Epigenic Biomarker,
317,RUNX3,32783304,Epigenic Biomarker,
317,CBLN4,32783304,Epigenic Biomarker,
317,INA,32783304,Epigenic Biomarker,
317,MGMT,32783304,Epigenic Biomarker,
317,RASSF1,32783304,Epigenic Biomarker,
318,HOXA2,32436804,RNA Biomarker,mRNA
319,nan,32879995,Imageological Biomarker,
320,nan,33228171,Imageological Biomarker,
321,PRKCA,33085976,DNA Biomarker,
322,CTLA-4,34006227,Immunological Biomarker,
323,ADO,33483477,Metabolic Biomarker,
324,nan,33098284,Imageological Biomarker,
325,FCER1G,33579299,Protein Biomarker,
326,CCND1,34022185,Protein Biomarker,
327,FN1,33391514,Protein Biomarker,
328,nan,33551616,Immunological Biomarker,
329,MIR29A,34064637,RNA Biomarker,miRNA
330,SRSF1,33925821,Protein Biomarker,
331,HAS2-AS1,34094916,RNA Biomarker,lncRNA
332,SUMO1P3,33791000,RNA Biomarker,lncRNA
333,GNG5,34098960,Protein Biomarker,
334,GPX2,33552592,Protein Biomarker,
335,nan,33975615,RNA Biomarker,circRNA
336,SLC16A1-AS1,33603467,RNA Biomarker,lncRNA
337,NOTCH1,33732379,Protein Biomarker,
338,GFAP,33583081,Protein Biomarker,
339,XRCC2,34051735,Protein Biomarker,
340,XRCC5,33868481,Protein Biomarker,
341,nan,34115146,Imageological Biomarker,
342,nan,34017077,RNA Biomarker,circRNA
343,nan,33858489,RNA Biomarker,circRNA
344,nan,32359929,Imageological Biomarker,
345,HLA-DRA,35585639,Protein Biomarker,
346,H2BC12,35547391,RNA Biomarker,mRNA
347,PAICS,34173716,Protein Biomarker,
348,ITGA9,35490433,Protein Biomarker,
349,MIRLET7C,35490305,RNA Biomarker,miRNA
349,MIR206,35490305,RNA Biomarker,miRNA
349,MIR1909,35490305,RNA Biomarker,miRNA
350,nan,35488516,Imageological Biomarker,
351,SRPX,35454889,Protein Biomarker,
351,SRPX2,35454889,Protein Biomarker,
352,SCARF2,35419275,Protein Biomarker,
353,nan,34250760,Protein Biomarker,
354,NCKAP1L,35347632,DNA Biomarker,
354,GPR37L1,35347632,DNA Biomarker,
354,CSPG4,35347632,DNA Biomarker,
354,PPFIA4,35347632,DNA Biomarker,
354,VXN,35347632,DNA Biomarker,
355,CHST12,34288811,Protein Biomarker,
356,VMP1,34311746,Protein Biomarker,
357,nan,35364762,Imageological Biomarker,
358,AP1S3,34367317,Protein Biomarker,
359,SPI1,35361282,Protein Biomarker,
360,AC020907.1,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,RO60,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,TMEM72-AS1,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,KRT16P2,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,DLX6-AS1,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,AC008738.2,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,AC102941.1,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,AL136115.1,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,CT62,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,DPY19L2P1,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,KCNH1-IT1,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,MIR424,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,TBPL1,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,C9ORF40,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,CRY2,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,ETNK1,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,NPAS2,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
360,VPS33B,35194922,RNA Biomarker,"mRNA, lncRNA, miRNA"
361,MIR526,35198024,RNA Biomarker,miRNA
362,HOXD-AS2,35269968,RNA Biomarker,lncRNA
363,SPP1,35275520,Protein Biomarker,
364,KLF11,35293659,Protein Biomarker,
364,HJURP,35293659,Protein Biomarker,
365,IL1R1,35328072,Protein Biomarker,
365,SORBS2,35328072,Protein Biomarker,
365,S100A8,35328072,Protein Biomarker,
365,CCL8,35328072,Protein Biomarker,
365,DAB2,35328072,Protein Biomarker,
366,FREM2,34439271,Protein Biomarker,
367,MIR21,35064290,RNA Biomarker,miRNA
367,MIR10B,35064290,RNA Biomarker,miRNA
367,MIR7,35064290,RNA Biomarker,miRNA
367,MIR491,35064290,RNA Biomarker,miRNA
368,SF3B1,35086552,Protein Biomarker,
369,nan,34485142,RNA Biomarker,piRNA
370,COL4A1,34539820,Protein Biomarker,
371,RPL34-DT,34539892,RNA Biomarker,lncRNA
372,CD74,34540893,Protein Biomarker,
373,MDK,34556138,Protein Biomarker,
374,nan,34627193,RNA Biomarker,circRNA
375,CTSC,35109832,Protein Biomarker,
376,EN1,35163043,Protein Biomarker,
377,nan,35163067,RNA Biomarker,mRNA
378,CDK2,35183683,Protein Biomarker,
379,FLNA,34641541,Protein Biomarker,
379,THBS1,34641541,Protein Biomarker,
379,TLN1,34641541,Protein Biomarker,
379,LAMB1,34641541,Protein Biomarker,
379,VTN,34641541,Protein Biomarker,
380,LYN,35186945,Protein Biomarker,
381,TIMELESS,34646412,Protein Biomarker,
382,ITGB3BP,34953037,Protein Biomarker,
383,TNFSF13,34712225,Protein Biomarker,
384,Fam20C,34970298,Protein Biomarker,
385,STOX1,34722888,Protein Biomarker,
386,LBX2-AS1,34729101,RNA Biomarker,lncRNA
387,ELK3,34976781,Protein Biomarker,
388,IGHG1,34760705,Protein Biomarker,
389,TRIB2,35044082,RNA Biomarker,mRNA
390,NKAIN1,34765972,Protein Biomarker,
390,UBE2E2,34765972,Protein Biomarker,
390,F13A1,34765972,Protein Biomarker,
390,RNF149,34765972,Protein Biomarker,
390,PLAUR,34765972,Protein Biomarker,
391,PDRG1,34812552,Protein Biomarker,
392,NDUFS5,34863158,Protein Biomarker,
392,NDUFA1,34863158,Protein Biomarker,
392,NDUFA13,34863158,Protein Biomarker,
392,NDUFB8,34863158,Protein Biomarker,
393,CCNB2,34908101,Protein Biomarker,
394,VWF,35052804,Protein Biomarker,
394,FCGBP,35052804,Protein Biomarker,
394,C3,35052804,Protein Biomarker,
394,PROS1,35052804,Protein Biomarker,
