pmid,doi,journal,publication_time,title,abstract,keywords,gene_symbol,biomarker,description,type_of_biomarker,type_of_rna_biomarker,clinical_use,level_of_evidence,research_region,total_number,male,female,mean_age,age,grade,source,key_experiment,up_regulator,down_effector_or_targets,knowledge_points,disease_type,disease_subtype,disease_classification,sensitivity,specificity,area_under_the_curve,supplementary_statistics
10533725,10.1023/a:1006258817785,J Neurooncol,1999,Correlation of Clinical Features and Telomerase Activity in Human Gliomas,"Telomerase is a ribonucleoprotein containing an RNA template that synthesizes telomeric DNA. The expression of telomerase activity is concomitant with the attainment of immortality in tumor tissues and cells. In this report, we analyzed telomerase activity in 39 human gliomas with different histological, and in 10 meningiomas, 3 neurinomas, and 2 normal brain tissues by using a polymerase chain reaction (PCR)-based telomeric repeat amplification protocol (TRAP) assay. Telomerase activity was detectable in almost all of the gliomas (36 of 39), but not in any of the meningiomas, neurinomas, or normal brain tissues. In addition, we also analyzed the level of telomerase activity in the 36 gliomas with positive telomerase activity. The relative telomerase activity of the glioma showed a clear association with the pathological grade of glioma; i.e., most of the tumors with high telomerase activity were pathologically of high grade. And also the relative level of telomerase activity could be correlated with the survival time of the patients. These results suggest that the level of telomerase activity in brain tumors is a diagnostic marker indicating the prognosis of the patient as well as the malignant potential of the tumor.",Telomerase; Telomerase activity,NA,Telomerase,The level of telomerase activity in brain tumors is a diagnostic marker indicating the prognosis of the patient ,Protein Biomarker,NA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",Japan,39,NA,NA,NA,NA,"II,III,IV",Tissue,A polymerase chain reaction (PCR)-based telomeric repeat amplification protocol (TRAP) assay,NA,NA,"1. Telomerase activity was detectable in almost all of the gliomas, but not in any of the meningiomas, neurinomas, or normal brain tissues; 2. The relative telomerase activity of the glioma showed a clear association with the pathological grade of glioma; 3. Most of the tumors with high telomerase activity were pathologically of high grade; 4. The relative level of telomerase activity could be correlated with the survival time of the patients; 5. These results suggest that the level of telomerase activity in brain tumors is a diagnostic marker indicating the prognosis of the patient as well as the malignant potential of the tumor;",Glioma,"Astrocytomas,Anaplastic Astrocytomas,Oligodendrogliomas,Anaplastic Oligodendroglioma, Glioblastomas",Glioma,NA,NA,NA,"Telomerase activity was detected in 36 of the 39 glioma tissues (92.3%), and only two samples of astrocytoma, and one sample of oligodendroglioma was negative for the activity. In contrast, the telomerase activity was not detected in meningiomas, neurinomas, and normal brain tissues."
28731165,10.3892/mmr.2017.7050,Mol Med Rep,2017,Homeobox‐containing protein 1 loss is associated with clinicopathological performance in glioma,"Homeobox-containing protein 1 (HMBOX1) is a novel member of the homeobox family, and abnormal expression of HMBOX1 has been observed in several types of carcinoma. A total of 144 cases of confirmed glioma diagnoses were included in the present study. Grading was performed according to the World Health Organization (WHO) grading system for central nervous system neoplasm. Immunohistochemical staining of HMBOX1, proliferation marker protein Ki-67 (Ki-67) and microvessel density (MVD) was performed, and scores were calculated. HMBOX1 mRNA levels were detected using the reverse transcription quantitative polymerase chain reaction. It was identified that the expression of HMBOX1 was reduced in glioma tissue compared with normal brain tissue (P<0.05). The expression of HMBOX1 was downregulated significantly in WHO grade IV tumors compared with WHO grades II and III (P<0.05). HMBOX1 expression was significantly correlated with WHO grade, Karnofsky Performance Score, MVD and Ki‐67 expression; however, not associated with age or gender. Log-rank testing did not demonstrate that HMBOX1 expression was associated with prognosis. In conclusion, HMBOX1 may be a potential diagnostic marker in glioma. ",homeobox-containing protein 1; glioma; diagnostic marker,HMBOX1,HMBOX1,HMBOX1 may be a potential diagnostic marker in glioma.,Protein Biomarker,NA,Diagnositic,"Tier 2, Biomarker is validated in clinical trials or case reports",China,144,NA,NA,NA,NA,"II,III,IV",Tissue,"Immunohistochemistry,qRT-PCR",NA,NA,1. HMBOX1 was expressed in the nucleus and cytoplasm of normal and tumor tissues; 2. HMBOX1 expression was significantly decreased in WHO grade IV compared with WHO grade II and III glioma; 3. HMBOX1 expression significantly correlates with Ki‐67; 4. HMBOX1 expression in high-grade glioma was decreased compared with low‐level;,Glioma,Glioma,Glioma,NA,NA,NA,The expression of HMBOX1 was reduced in glioma tissue compared with normal brain tissue (P<0.05).
31422498,10.1007/s11060-019-03256-2,J Neurooncol,2019,Clinical impact of circulating oncogenic MiRNA-221 and MiRNA-222 in glioblastoma multiform,"Background and aim Glioblastoma multiform (GBM); most fatal brain cancer, is incurable with molecular diversity hence identification of molecular targets that contribute to GBM tumorgenesis will be suitable for the development of diagnostic and treatment strategies. Micro-RNAs (miR); small RNA molecules, are stable in blood and play a crucial role in molecular processes in GBM. Thus it was aimed to investigate the clinical role of miR-221 and miR-222 among GBM cases as compared to healthy individuals and illustrate their role in patient's survival. Materials and methods Blood samples were withdrawn from 20 GBM cases before and after treatment, a group of 20 healthy individuals were served as control. For all enrolled samples expression of miR-221 and miR-222 were detected using quantitative PCR (QPCR). Sensitivities, specificities of investigated miRs and their relation with GBM clinical characteristics and patient's outcome were analyzed using Kaplan Meir curve. Results Expression of investigated miR- 221 and -222 were significantly increased in GBM cases as compared to healthy individuals (F = 12.9, at P < 0.001, F = 28.78, at P < 0.0001, respectively) and with absolute specificity for both and 90% sensitivity for miR-221 and 85% for miR-222. Among GBM patients (n = 20), mean expression level miR-221 reported significant increase with elder GBM ( > 60 years) at F = 5.7, P = 0.028, while both miR-221 and -222 showed significant difference in performance status (ECGO) at P = 0.036 and 0.007, patients with primary lesion at P = 0.001 and 0.005, surgically treatment strategy at P < 0.001 and 0.004, respectively. Patients were grouped according to their outcomes into response (complete [CR] or partial [PR]), stable disease[SD] and progressive disease [PD], miR-221 and miR-222 showed increase expression with PD and patients with worse PFS and OS were those with high miRs expression. Conclusion Detection of circulating miR-221 and miR-222 may be used as circulating molecular marker for diagnosis and prediction of outcome for patients with GBM. Further studies with large cohort of samples are encouraged. ",MiRNA; Glioblastoma multiform; Prognosis; Response,MIR221; MIR222,miR-221; miR-222 ,Detection of circulating miR-221 and miR-222 may be used as circulating molecular marker for diagnosis and prediction of outcome for patients with GBM.,RNA Biomarker,miRNA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",Egypt,40,29,11,NA,NA,IV,Peripheral blood,qRT-PCR,NA,NA,"1. Expression of investigated miR-221 and miR-222 were significantly increased in GBM cases as compared to healthy individuals (F=12.9, at P<0.001, F=28.78, at P<0.0001, respectively); 2. Among GBM patients (n=20), mean expression level miR-221 reported significant increase with elder GBM (>60 years) at F=5.7, P=0.028 3. both miR-221 and miR-222 showed significant difference in performance status (ECGO) at P=0.036 and 0.007, patients with primary lesion at P=0.001 and 0.005, surgically treatment strategy at P<0.001 and 0.004, respectively; 4. Patients were grouped according to their outcomes into response (complete [CR] or partial [PR]), stable disease[SD] and progressive disease [PD], miR-221 and miR-222 showed increase expression with PD and patients with worse PFS and OS were those with high miRs expression;",Glioblastoma,Glioblastoma,Glioblastoma / Astrocytoma,0.85,1,0.957,"Signifcant diference was reported between miRs expression among groups as increased miR-221 and miR-222 expression in GBM cases (mean±standard error of mean [SEM]=39.9±0.6 and 217±5.9) as compared to healthy control cases (5.6±0.2 and 4.1±0.4) respectively at (P<0.001) as shown in Fig. 2a, b"
21696415,10.1111/j.1365-2990.2011.01193.x,Neuropathol Appl Neurobiol,2011,BRAF-KIAA1549 fusion transcripts are less frequent in pilocytic astrocytomas diagnosed in adults,"Duplication of 7q34 resulting in generation of BRAF-KIAA1549 fusion transcripts is a characteristic event in pilocytic astrocytoma that may also aid distinction from diffuse astrocytic tumours. As data on BRAFKIAA1549 fusion transcript status remain mainly limited to children, we aimed to examine the diagnostic value of BRAF-KIAA1549 fusion transcripts across all age groups. Methods: BRAF-KIAA1549 fusion transcript status was examined using reverse transcription polymerase chain reaction on formalin-fixed paraffin-embedded samples of 105 primary pilocytic astrocytomas [median patient age: 17 years (1-74 years)]. Results: Informative results (distinct wildtype BRAF bands detectable) were obtained in 105/124 cases (85%). Fusion transcripts were detected in 53 of cases (51%). They were more often encountered in tumours of infratentorial location [42/67 (63%) vs. 11/38 (29%)] and comprised KIAA1549-Ex16_BRAFEx9 (32 cases), KIAA1549-Ex15_BRAF-Ex9 (14 cases) and KIAA1549-Ex16_BRAF-Ex11 (seven cases). Fusion transcripts were present in 79% of tumours diagnosed in the first decade of life, but only in 51% of patients aged 11-20 years, 42% of patients aged 21-30 years, 30% of patients aged 31-40 years and 7% of patients older than 40 years. On multivariate logistic regression analysis, the association of fusion transcript status and age was con- firmed adjusting for tumour location (P = 0.006). Conclusions: The frequency of BRAF-KIAA1549 fusion transcripts is significantly lower in adult patients with pilocytic astrocytoma, weakening the sensitivity of this specific diagnostic marker in that age group.",BRAF; isocitratedehydrogenase1; KIAA1549; pilocyticastrocytoma,BRAF ,BRAF-KIAA1549 fusion transcripts,"The frequency of BRAF-KIAA1549 fusion transcripts is significantly lower in adult patients with pilocytic astrocytoma, weakening the sensitivity of this specific diagnostic marker in that age group.",DNA Biomarker,NA,Diagnositic,"Tier 3, Biomarker is validated in pre-clinical research",Germany,105,NA,NA,NA,17(1-74),NA,Tissue,RT-PCR,NA,NA,"1. Fusion transcripts were present in 79% of tumours diagnosed in the first decade of life, but only in 51% of patients aged 11-20 years, 42% of patients aged 21-30 years, 30% of patients aged 31-40 years and 7% of patients older than 40 years; 2. The frequency of BRAF-KIAA1549 fusion transcripts is significantly lower in adult patients with pilocyticastrocytoma, weakening the sensitivity of this specific diagnostic marker in that age group;",Pilocytic Astrocytoma,Pilocytic Astrocytomas,Astrocytoma,NA,NA,NA,NA
23041135,10.1016/j.jprot.2012.09.028,J Proteomics,2012,iTRAQ-based quantitative proteomic analysis for identification of oligodendroglioma biomarkers related with loss of heterozygosity on chromosomal arm 1p,"The oligodendroglioma (OG) type of glial cell tumors accounts for 2-5% of primary brain neoplasms and 4-15% of gliomas diagnosed worldwide. Allelic losses on 1p, or on 1p and 19q, correlate with chemotherapy response and good prognosis in OG patients; however,the underlying mechanisms are not yet clearly defined. Therefore, we utilized a quantitative proteomics strategy that combined 8-plex isobaric tags for relative and absolute quantitation (iTRAQ) labeling and two-dimensional liquid chromatographytandem mass spectrometry (2D-LC/MS/MS) to identify molecular signatures, reveal mechanisms, and develop predictive markers of OG patients with 1p loss of heterozygosity (LOH). An initial screening of four OG patients with 1p LOH and four without were identified,and 449 differentially expressed proteins were quantified, 13 of which were significantly different between the two groups. Analysis of the Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway suggested that 1p LOH may affect the actin network in OG. The differential expression of four of the 13 candidates (UBA1, ubiquitin-like modifier activating enzyme 1; ATP6V1E1, ATPase, H+ transporting, lysosomal 31 kDa, V1 subunit E1; MAP2,microtubule-associated protein 2; and HMGB1, high-mobility group protein B1) was validated in 39 additional OG samples using immunohistochemistry. Decision tree modeling indicated that MAP2 expression is a powerful predictor of 1p LOH. Our results not only demonstrate the utility of iTRAQ-based high-throughput quantitative proteomic analysis in glioma research, but also provide novel markers that may help to reveal the mechanisms of 1p LOH-associated chemosensitivity, and to design diagnostic and prognostic assays and therapeutics for OG.",Oligodendroglioma; FISH; 1p LOH; Proteomics; iTRAQ; Biomarkers,ATP6V1E1; UBA1; HMGB1; MAP2,ATP6V1E1; UBA1; HMGB1; MAP2,"Validation of selected candidates by Western blot analysis and immunohistochemistry confirmed four proteins (ATP6V1E1, UBA1, HMGB1, and MAP2) as candidate biomarkers to distinguish subgroups of OGs stratified for their allelic status on the 1p chromosome arms.",Protein Biomarker,NA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",China,NA,NA,NA,NA,NA,NA,Tissue,"Western Blot,Immunohistochemistry",NA,NA,"1. We utilized a quantitative proteomics strategy that combined 8-plex isobaric tags for relative and absolute quantitation (iTRAQ) labeling and two-dimensional liquid chromatographytandem mass spectrometry (2D-LC/MS/MS) to identify molecular signatures, reveal mechanisms, and develop predictive markers of OG patients with 1p loss of heterozygosity (LOH); 2. Differential expression analyses of the proteomes of OGs with and without 1p LOH identified 13 candidate proteins that warranted further investigation; 3. The differential expression of four of the 13 candidates (UBA1, ubiquitin-like modifier activating enzyme 1, ATP6V1E1, ATPase, H+ transporting, lysosomal 31 kDa, V1 subunit E1, MAP2, microtubule-associated protein 2, and HMGB1, high-mobility group protein B1) was validated in 39 additional OG samples using immunohistochemistry; 4. These markers may provide insights into the feature of chemosensitivity in 1p LOH OGs, but may also represent useful predictive markers of 1p LOH with decision tree models;",Oligodendroglioma,OG patients with 1p loss of heterozygosity (LOH),Oligodendroglioma,NA,NA,NA,NA
28133515,10.5487/TR.2017.33.1.063,Toxicol Res,2017,Recognition of Transmembrane Protein 39A as a Tumor-Specific Marker in Brain Tumor,"Transmembrane protein 39A (TMEM39A) belongs to the TMEM39 family. TMEM39A gene is a susceptibility locus for multiple sclerosis. In addition, TMEM39A seems to be implicated in systemic lupus erythematosus. However, any possible involvement of TMEM39A in cancer remains largely unknown. In the present report, we provide evidence that TMEM39A may play a role in brain tumors. Western blotting using an anti-TMEM39A antibody indicated that TMEM39A was overexpressed in glioblastoma cell lines, including U87-MG and U251-MG. Deep-sequencing transcriptomic profiling of U87-MG and U251-MG cells revealed that TMEM39A transcripts were upregulated in such cells compared with those of the cerebral cortex. Confocal microscopic analysis of U251-MG cells stained with anti-TMEM39A antibody showed that TMEM39A was located in dot-like structures lying close to the nucleus. TMEM39A probably located to mitochondria or to endosomes. Immunohistochemical analysis of glioma tissue specimens indicated that TMEM39A was markedly upregulated in such samples. Bioinformatic analysis of the Rembrandt knowledge base also supported upregulation of TMEM39A mRNA levels in glioma patients. Together, the results afford strong evidence that TMEM39A is upregulated in glioma cell lines and glioma tissue specimens. Therefore, TMEM39A may serve as a novel diagnostic marker of, and a therapeutic target for, gliomas and other cancers. ",TMEM39a; Multiple sclerosis; Systemic lupus erythematosus; Glioma,TMEM39A,TMEM39a,TMEM39A may serve as a novel diagnostic marker and a therapeutic target for gliomas and other cancers. ,Protein Biomarker,NA,"Diagnositic,Therapeutic","Tier 3, Biomarker is validated in pre-clinical research",Korea,NA,NA,NA,NA,NA,NA,Tissue,"Immunohistochemistry,qRT-PCR",NA,NA,1. Upregulation of TMEM39A expression in glioblastoma cell lines; 2. TMEM39A transcription is enhanced in U87-MG cells and U251-MG cells; 3. Subcellular localization of TMEM39A in U251-MG cells; 4. TMEM39A is expressed in GBM tissue; 5. Differential TMEM39A mRNA expression and validation of the prognostic value of this observation in the REMBRANDT cohort;,Glioma,"Astrocytoma,Oligodendroglioma,Glioblastoma,Glioma",Glioma,NA,NA,NA,"High-level TMEM39A mRNA expression (in 167 patients), compared with low-level expression (in 31 patients), was significantly associated with poor survival (log-rank P value = 0.012; HR = 2.17, 95% confidence interval [CI] 0.80-2.89; Fig.5B)"
24966945,NA,Int J Clin Exp Pathol,2014,High expression and frequently humoral immune response of melanoma-associated antigen D4 in glioma,"MAGE-D4 is a novel member of MAGE super-family. It has preliminarily been demonstrated that MAGE-D4 mRNA is not expressed in majority of normal tissues except for brain and ovary in which only trace amount of MAGE-D4 mRNA can be detected, but predominantly expressed in glioma. MAGE-D4 protein expression and its immunogenicity in glioma have not been elucidated well. This study was designed to analyze MAGE-D4 expression both at mRNA and protein level, characteristic of humoral immune response, and their relationships with glioma patients' clinicopathological parameters. Recombinant MAGE-D4 protein and antiserum were generated. Quantitative RT- PCR analysis revealed that MAGE-D4 mRNA expression was overall up-regulated in 41 glioma specimens compared with that in 14 normal brain tissues. Immunohistochemistry analysis showed that 78% (21/27) glioma tissues expressed MAGE-D4 protein, which was predominantly located in the cytoplasm of tumor cells, but absent in any neuroglia cell of normal brain tissues. ELISA analysis demonstrated that humoral response against MAGE-D4 was detected in 17% (7/41) of glioma patients' sera but not in 77 healthy donors. No apparent correlation was observed between the expression and immunogenicity of MAGE-D4 with clinicopathological parameters of glioma. In summary, these results indicate that MAGE-D4 is highly expressed in glioma and can develop specifically humoral response in glioma patients, which supports that it may be a promising biomarker for glioma diagnosis and immunotherapy. ",Glioma; tumor antigen; melanoma-associated antigen D4; gene expression; immunogenicity,MAGED4,MAGE-D4,"MAGE-D4 is highly expressed in glioma and can develop specifically humoral response in glioma patients, which supports that it may be a promising biomarker for glioma diagnosis and immunotherapy.",Protein Biomarker,NA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",China,41,29,12,39.4,NA,NA,"Tissue,Serum","Immunohistochemistry,ELISA,qRT-PCR",NA,NA,"1. Quantitative RTPCR analysis revealed that MAGE-D4 mRNA expression was overall up-regulated in 41 glioma specimens compared with that in 14 normal brain tissues; 2. Immunohistochemistry analysis showed that 78% (21/27) glioma tissues expressed MAGE-D4 protein, which was predominantly located in the cytoplasm of tumor cells, but absent in any neuroglia cell of normal brain tissues; 3. ELISA analysis demonstrated that humoral response against MAGE-D4 was  detected in 17% (7/41) of glioma patients' sera but not in 77 healthy donors; 4. MAGE-D4 is highly expressed in glioma and can develop specifically humoral response in glioma patients, which supports that it may be a promising biomarker for glioma diagnosis and immunotherapy;",Glioma,"Pilocytic Astrocytomas,Diffuse Astrocytomas,Anaplastic Astrocytomas,Ependymomas,Glioblastomas",Glioma,NA,NA,NA,"Immunohistochemistry analysis showed that 78% (21/27) glioma tissues expressed MAGE-D4 protein, which was predominantly located in the cytoplasm of tumor cells, but absent in any neuroglia cell of normal brain tissues."
22855780,10.1093/jnci/djs315,J Natl Cancer Inst,2012,Association Between Prediagnostic IgE Levels and Risk of Glioma,"Background Previous nested case-control studies suggest that a prediagnostic biomarker of allergy, IgE, is inversely associated with the risk of glioma, but these findings are inconsistent. The purpose of our study was to assess this association and determine how long before glioma diagnosis it may be observed. Methods We conducted a nested case-control study using serum specimens from the Janus Serum Bank cohort in Norway. Blood donors who were subsequently diagnosed with glioma (n = 594 case subjects), between January 1, 1974 to December 31, 2007, were matched with subjects without glioma (n = 1177 control subjects) for date of blood collection, 2-year age interval at blood collection, and sex. Respiratory allergen-specific and total IgE levels in the serum were measured using fluorescent assays. Odds ratios (ORs) and 95% confidence intervals (CIs) were calculated using conditional logistic regression models stratified on sex and glioblastoma, the most common glioma subtype. Data were stratified on time from blood collection to tumor diagnosis to assess how long before glioma diagnosis the association could be observed. Results Among women, testing positive for allergen-specific IgE (>0.35 kUA/L) was associated with decreased risk of glioblastoma compared with testing negative (0.35 kUA/L; OR = 0.46, 95% CI = 0.23 to 0.93). Among both sexes combined, testing positive for total IgE (>100 kU/L) was associated with decreased risk of glioma compared with testing negative (100 kU/L; OR = 0.75, 95% CI = 0.56 to 0.99), and simultaneously testing positive for allergenspecific IgE and total IgE was associated with a borderline statistically significantly decreased risk of glioblastoma and glioma compared with simultaneously testing negative for these types of IgE. Testing positive for total IgE at least 20 years before diagnosis was associated with decreased risk of glioma compared with testing negative (OR = 0.54, 95% CI = 0.30 to 0.99). Conclusion An inverse association between IgE levels and risk of glioma was detected; the association was present at least 20 years before tumor diagnosis.",NA,NA ,lgE,An inverse association between IgE levels and risk of glioma was detected; the association was present at least 20 years before tumor diagnosis.,Immunological Biomarker,NA,Diagnositic,"Tier 2, Biomarker is validated in clinical trials or case reports",Columbus,968,662,306,NA,NA,NA,Serum,Measurement of allergen-specific and total IgE,NA,NA,"1. An inverse association between IgE levels and risk of glioma was detected, the association was present at least 20 years before tumor diagnosis; 2. Elevated levels of prediagnostic allergen-specific IgE and total IgE are associated with reduced risk of both glioblastoma and glioma; 3. However, the association between testing positive for allergen-specific IgE and decreased tumor risk was restricted to women; 4. In addition, our findings suggest that for both sexes combined, the simultaneous presence of elevated levels of both allergen-specific IgE and total IgE may be associated with a lower risk of glioblastoma and glioma than are negative levels for both types of IgE;",Glioma,"Glioblastoma,Glioma",Glioma,NA,NA,NA,"Among both sexes combined, testing positive for total IgE (>100 kU/L) was associated with decreased risk of glioma compared with testing negative (≤100 kU/L; OR = 0.75, 95% CI = 0.56 to 0.99),"
15289301,10.1158/0008-5472.CAN-04-1170,Cancer Res,2004,"Mutations of PIK3CA in Anaplastic Oligodendrogliomas,  High-Grade Astrocytomas, and Medulloblastomas","The phosphatidylinositol 3-kinase pathway is activated in multiple advanced cancers, including glioblastomas, through inactivation of the PTEN tumor suppressor gene. Recently, mutations in PIK3CA, a member of the family of phosphatidylinositol 3-kinase catalytic subunits, were identified in a significant fraction (25-30%) of colorectal cancers, gastric cancers, and glioblastomas and in a smaller fraction of breast and lung cancers. These mutations were found to cluster into two major ""hot spots"" located in the helical and catalytic domains. To determine whether PIK3CA is genetically altered in brain tumors, we performed a large-scale mutational analysis of the helical and catalytic domains. A total of 13 mutations of PIK3CA within these specific domains were identified in anaplastic oligodendrogliomas, anaplastic astrocytomas, glioblastoma multiforme, and medulloblastomas, whereas no mutations were identified in ependymomas or low-grade astrocytomas. These observations implicate PIK3CA as an oncogene in a wider spectrum of adult and pediatric brain tumors and suggest that PIK3CA may be a useful diagnostic marker or a therapeutic target in these cancers.",Anaplastic Oligodendrogliomas;  High-Grade Astrocytomas;Medulloblastomas;PIK3CA,PIK3CA,PIK3CA,PIK3CA as an oncogene in a wider spectrum of adult and pediatric brain tumors and suggest that PIK3CA may be a useful diagnostic marker or a therapeutic target in these cancers.,DNA Biomarker,NA,"Diagnositic,Therapeutic","Tier 3, Biomarker is validated in pre-clinical research",USA,285,NA,NA,NA,NA,NA,Tissue,PCR,NA,NA,"1. Mutations in PIK3CA, a member of the family of phosphatidylinositol 3- kinase catalytic subunits, were identified in a significant fraction (25-30%) of colorectal cancers, gastric cancers, and glioblastomas and in a smaller fraction of breast and lung cancers; 2. PIK3CA mutational analysis was performed on exon 9 and exon 20 of PIK3CA by PCR of genomic DNA from brain tumor samples followed by direct sequencing; 3. A total of 13 mutations of PIK3CA within these specific domains were identified in anaplastic oligodendrogliomas, anaplastic astrocytomas, glioblastoma multiforme, and medulloblastomas; 4. No mutations were identified in ependymomas or low-grade astrocytomas; 5. These observations implicate PIK3CA as an oncogene in a wider spectrum of adult and pediatric brain tumors and suggest that PIK3CA may be a useful diagnostic marker or a therapeutic target in these cancers;",Glioma,"Anaplastic Oligodendrogliomas,Anaplastic Astrocytomas,Glioblastoma",Glioma,NA,NA,NA,"A total of 13 mutations of PIK3CA within these specific domains were identified in anaplastic oligodendrogliomas, anaplastic astrocytomas, glioblastoma multiforme, and medulloblastomas, whereas no mutations were identified in ependymomas or low-grade astrocytomas"
31468534,10.1002/jcp.29127,J Cell Physiol,2019,A negative feedback loop of H19/miR‐675/VDR mediates therapeutic effect of cucurmin in the treatment of glioma,"Curcumin (CUR) shows a remarkable antitumor activity against a wide range of  cancers such as glioma, but its underlying mechanism remains elusive. In this study,  we aimed to explore the potential role of H19/miR‐675/vitamin D receptor (VDR) in  the effect of CUR against glioma. Real‐time polymerase chain reaction and western‐  blot analysis were used to study the effect of CUR or 1,25‐dihydroxyvitamin D  (1,25(OH)2D3) on the expression of H19, miR‐675, and VDR. In addition, the effect  of H19 on VDR expression was also studied. Furthermore, the expression of H19,  miR‐675, and VDR between CUR‐loaded nanoparticles (NPs) and NP groups was  compared, and the interaction among H19, miR‐675, and VDR was analyzed by in‐  silicon and luciferase assays. In a dose‐dependent manner, CUR and 1,25(OH)2D3  both downregulated the expression of H19 and miR‐675 but increased the expression  of VDR. In addition, H19 evidently reduced the mRNA and protein levels of VDR.  Furthermore, VDR was confirmed as a target gene of miR‐675, which significantly  reduced the expression of VDR. Finally, the administration of CUR evidently  decreased tumor volume. CUR‐loaded NP group exhibited lower levels of H19 and  miR‐675, while the NP group showed higher levels of VDR mRNA and protein. In  summary, it is the first time that the involvement of a negative feedback loop of  H19/miR‐675/VDR has been demonstrated in the development of glioma. Therefore,  H19 might serve as a new biomarker for the diagnosis and treatment of glioma.",apoptosis; glioma; H19; miR‐675; VDR,H19,H19,H19 might serve as a new biomarker for the diagnosis and treatment of glioma.,RNA Biomarker,lncRNA,"Diagnositic,Therapeutic","Tier 3, Biomarker is validated in pre-clinical research",China,NA,NA,NA,NA,NA,NA,Tissue,qRT-PCR,NA,NA,"1. CUR decreased the expression of H19 and miR-675, but increased the expression of VDR; 2. VDR was a virtual target gene of miR-675; 3. H19, miR-675, and VDR formed a regulatory feedback loop, which could be involved in the development of glioma; 4. CUR could affect the prognosis of glioma; 5. CUR downregulated the expression of H19 and miR-675, but upregulated the expression of VDR; 6. The protein level of VDR in the CUR-loaded NP group was much higher than that in the NP group; 7. The involvement of a negative feedback loop of H19/miR-675/VDR has been demonstrated in the development of glioma; 8. H19 might serve as a new biomarker for the diagnosis and treatment of glioma;",Glioma,RG2 glioma cells,Glioma,NA,NA,NA,NA
31628293,10.3171/2019.7.JNS182435,J Neurosurg,2019,Association of decreased levels of lipopolysaccharide-binding protein with OKN-007-induced regression of tumor growth in an F98 rat glioma model,"OBJECTIVE High-grade gliomas, such as glioblastoma (GBM), are devastating tumors with a very poor prognosis. Previously the authors have found that the nitrone compound OKN-007 (OKlahoma Nitrone 007; or disodium 4-[(tertbutyl-imino) methyl] benzene-1,3-disulfonate N-oxide) is effective against high-grade gliomas in various GBM rodent and human xenograft models. The purpose of the present study was to assess the levels of the lipopolysaccharide-binding protein (LBP) in rodent gliomas treated with OKN-007 as well as determine the expression of LBP in human gliomas.  METHODS Microarray analysis was done to assess altered gene expression following OKN-007 administration in an F98 glioma model. An enzyme-linked immunosorbent assay was incorporated to assess LBP levels in glioma tissues, as well as blood serum, comparing results in OKN-007-treated and untreated tumor-bearing animals. Immunohistochemistry was used to assess LBP levels in varying grades of human glioma tissue sections.  RESULTS Upon further assessment of gene expression fold changes in F98 gliomas in rats that received or did not receive OKN-007, it was found that the gene for LBP was significantly downregulated by OKN-007. Further investigation was done to see whether levels of LBP were affected by OKN-007 treatment in F98 gliomas. It was found that LBP could be detected not only in glioma tissue but also in blood serum of F98 glioma-bearing rats and that OKN-007 decreased the levels of LBP. It was also found that LBP levels are highly expressed in human high-grade glioma tissues.  CONCLUSIONS LBP could potentially be used as a serum diagnostic marker of treatment response in high-grade gliomas. ",lipopolysaccharide-binding protein; OKN-007; high-grade gliomas; GBM; glioblastoma; F98 rat glioma; oncology,LBP,Lipopolysaccharide binding protein (LBP),LBP could potentially be used as a serum diagnostic marker of treatment response in high-grade gliomas.,Protein Biomarker,NA,"Diagnositic,Therapeutic","Tier 3, Biomarker is validated in pre-clinical research",USA,NA,NA,NA,NA,NA,NA,"Tissue,Serum","Immunohistochemistry,ELISA",NA,NA,"1. OKN-007 was effective in significantly decreasing F98 glioma tumor volumes as well as significantly increasing animal survival, compared with survival of untreated tumor-bearing rats; 2. The gene for LBP was significantly downregulated by OKN-007; 3. OKN-007 decreased the levels of LBP; 4. LBP could be detected not only in glioma tissue but also in blood serum of F98 glioma-bearing rats; 5. LBP could potentially be used as a serum diagnostic marker of treatment response in high-grade gliomas;",Glioma,"Glioblastoma,Anaplastic Astrocytoma,Anaplastic Oligodendroglioma,Oligodendroglioma,Astrocytoma",Glioma,NA,NA,NA,"Based on the microarray analysis of the RNA from tissue lysates, when comparing samples from OKN-007-treated animals to samples from untreated tumor-bearing animals, there was a −7.53-fold decrease in LBP gene expression in the tumors from the OKN-007-treated group."
